"Labour force characteristics by province, monthly, unadjusted for seasonality 1 2"
"Frequency: Monthly"
"Table: 14-10-0017-02"
"Release date: 2026-07-10"
"Geography: Canada, Province or territory"
""
""

,"Gender 3 4","Total - Gender",,,,,,
,"Age group","15 years and over",,,,,,
"Geography 5","Labour force characteristics","January 2024","January 2025","January 2026","January 2024 to January 2026","January 2025 to January 2026","January 2025 to January 2026","January 2024 to January 2026"
"Canada",,"Persons in thousands",,,,,,
,"Employment rate 16","60.8","60.4","60.3","-0.5","-0.1","...","..."
"Ontario",,"Persons in thousands",,,,,,
,"Population 6 7","13,188.9","13,627.1","13,751.2","562.3","124.1","0.9","4.3"
,"Labour force 8","8,488.5","8,817.8","8,748.4","259.9","-69.4","-0.8","3.1"
,"Employment 9","7,956.2","8,138.7","8,106.1","149.9","-32.6","-0.4","1.9"
,"Full-time employment 10","6,501.5","6,657.9","6,662.8","161.3","4.9","0.1","2.5"
,"Part-time employment 11","1,454.6","1,480.7","1,443.2","-11.4","-37.5","-2.5","-0.8"
,"Unemployment 12","532.3","679.1","642.3","110.0","-36.8","-5.4","20.7"
,"Not in labour force 13","4,700.4","4,809.4","5,002.8","302.4","193.4","4.0","6.4"
,,"Percent",,,,,,
,"Unemployment rate 14","6.3","7.7","7.3","1.0","-0.4","...","..."
,"Participation rate 15","64.4","64.7","63.6","-0.8","-1.1","...","..."
,"Employment rate 16","60.3","59.7","58.9","-1.4","-0.8","...","..."
"Manitoba",,"Persons in thousands",,,,,,
,"Population 6 7","1,128.0","1,164.7","1,182.5","54.5","17.8","1.5","4.8"
,"Labour force 8","745.7","768.2","783.1","37.4","14.9","1.9","5.0"
,"Employment 9","715.3","722.1","735.0","19.7","12.9","1.8","2.8"
,"Full-time employment 10","579.9","587.3","600.9","21.0","13.6","2.3","3.6"
,"Part-time employment 11","135.5","134.8","134.1","-1.4","-0.7","-0.5","-1.0"
,"Unemployment 12","30.3","46.1","48.1","17.8","2.0","4.3","58.7"
,"Not in labour force 13","382.3","396.4","399.4","17.1","3.0","0.8","4.5"
,,"Percent",,,,,,
,"Unemployment rate 14","4.1","6.0","6.1","2.0","0.1","...","..."
,"Participation rate 15","66.1","66.0","66.2","0.1","0.2","...","..."
,"Employment rate 16","63.4","62.0","62.2","-1.2","0.2","...","..."
"Saskatchewan",,"Persons in thousands",,,,,,
,"Population 6 7","931.6","958.0","974.3","42.7","16.3","1.7","4.6"
,"Labour force 8","619.2","632.9","648.0","28.8","15.1","2.4","4.7"
,"Employment 9","587.7","597.6","612.6","24.9","15.0","2.5","4.2"
,"Full-time employment 10","483.3","486.3","505.9","22.6","19.6","4.0","4.7"
,"Part-time employment 11","104.5","111.3","106.7","2.2","-4.6","-4.1","2.1"
,"Unemployment 12","31.4","35.4","35.4","4.0","0.0","0.0","12.7"
,"Not in labour force 13","312.4","325.0","326.3","13.9","1.3","0.4","4.4"
,,"Percent",,,,,,
,"Unemployment rate 14","5.1","5.6","5.5","0.4","-0.1","...","..."
,"Participation rate 15","66.5","66.1","66.5","0.0","0.4","...","..."
,"Employment rate 16","63.1","62.4","62.9","-0.2","0.5","...","..."
"Alberta",,"Persons in thousands",,,,,,
,"Population 6 7","3,828.8","4,002.0","4,107.5","278.7","105.5","2.6","7.3"
,"Labour force 8","2,630.8","2,728.4","2,812.8","182.0","84.4","3.1","6.9"
,"Employment 9","2,455.0","2,532.4","2,622.1","167.1","89.7","3.5","6.8"
,"Full-time employment 10","1,981.3","2,044.9","2,148.0","166.7","103.1","5.0","8.4"
,"Part-time employment 11","473.6","487.5","474.1","0.5","-13.4","-2.7","0.1"
,"Unemployment 12","175.8","195.9","190.6","14.8","-5.3","-2.7","8.4"
,"Not in labour force 13","1,198.0","1,273.6","1,294.8","96.8","21.2","1.7","8.1"
,,"Percent",,,,,,
,"Unemployment rate 14","6.7","7.2","6.8","0.1","-0.4","...","..."
,"Participation rate 15","68.7","68.2","68.5","-0.2","0.3","...","..."
,"Employment rate 16","64.1","63.3","63.8","-0.3","0.5","...","..."
"British Columbia",,"Persons in thousands",,,,,,
,"Population 6 7","4,653.8","4,805.9","4,844.0","190.2","38.1","0.8","4.1"
,"Labour force 8","3,036.0","3,102.2","3,097.0","61.0","-5.2","-0.2","2.0"
,"Employment 9","2,861.8","2,904.1","2,904.3","42.5","0.2","0.0","1.5"
,"Full-time employment 10","2,260.2","2,276.7","2,314.0","53.8","37.3","1.6","2.4"
,"Part-time employment 11","601.5","627.4","590.3","-11.2","-37.1","-5.9","-1.9"
,"Unemployment 12","174.2","198.1","192.7","18.5","-5.4","-2.7","10.6"
,"Not in labour force 13","1,617.8","1,703.7","1,747.0","129.2","43.3","2.5","8.0"
,,"Percent",,,,,,
,"Unemployment rate 14","5.7","6.4","6.2","0.5","-0.2","...","..."
,"Participation rate 15","65.2","64.5","63.9","-1.3","-0.6","...","..."
,"Employment rate 16","61.5","60.4","60.0","-1.5","-0.4","...","..."

Symbol legend:
..., not applicable




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are suppressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"Starting in 2006, enhancements to the Labour Force Survey data processing system may have introduced a level shift in some estimates, particularly for less common labour force characteristics. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
3,"Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Some people may not identify with a specific gender and a person's gender may change over time. Gender includes the following concepts: gender identity, which refers to the gender that a person feels internally and individually; gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (for example, clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender. A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's license. LFS started collecting gender of person in 2022. Prior to 2022, LFS only collected information on sex of person (male or female), as declared by the respondent or recorded by the interviewer. The sex variable prior to 2022 and the two-category gender variable since 2022 are combined in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations."
4,"Given that the non-binary population is small, data aggregation to a two-category gender variable is necessary to protect the confidentiality of responses provided. Individuals in the category "non-binary persons" are distributed into the other two gender categories and are denoted by the "+" symbol. The category "Men+" includes men, as well as some non-binary persons, while the category "Women+" includes women, as well as some non-binary persons."
5,"Excluding the territories."
6,"Number of persons of working age, 15 years and over. Estimates in thousands, rounded to the nearest hundred."
7,"From December 2000 to January 2001, there is a slight level shift in the population series. This is due to the 2015 population rebasing, which was revised back to 2001. This level shift is evident for certain age groups and in two provinces (Manitoba and Saskatchewan). These shifts are minor for labour force estimates and rates."
8,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed. Estimates in thousands, rounded to the nearest hundred."
9,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
10,"Full-time employment consists of persons who usually work 30 hours or more per week at their main or only job. Estimates in thousands, rounded to the nearest hundred."
11,"Part-time employment consists of persons who usually work less than 30 hours per week at their main or only job. Estimates in thousands, rounded to the nearest hundred."
12,"Number of persons who, during the reference week, were without work, had looked for work in the past four weeks, and were available for work. Those persons on layoff or who had a new job to start in four weeks or less are considered unemployed. Estimates in thousands, rounded to the nearest hundred."
13,"Persons in the civilian non-institutional population 15 years of age and over who, during the reference week, were neither employed nor unemployed. Estimates in thousands, rounded to the nearest hundred."
14,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, gender, marital status, etcetera) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."
15,"The participation rate is the number of labour force participants expressed as a percentage of the population 15 years of age and over. The participation rate for a particular group (age, gender, marital status, etcetera) is the number of labour force participants in that group expressed as a percentage of the population for that group. Estimates are percentages, rounded to the nearest tenth."
16,"The employment rate is the number of persons employed expressed as a percentage of the population 15 years of age and over. The employment rate for a particular group (age, gender, marital status, etcetera) is the number employed in that group expressed as a percentage of the population for that group. Estimates are percentages, rounded to the nearest tenth."



"How to cite: Statistics Canada. Table 14-10-0017-02  Labour force characteristics by province, monthly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410001702
